"M","scale","tau2","K","n_per","P","gamma","N_sim","coverage","se"
4000,0.1,0.844,15,6,0.95,0.95,3000,0.9393,0.0044
4000,0.25,2.11,15,6,0.95,0.95,3000,0.9473,0.0041
4000,0.5,4.22,15,6,0.95,0.95,3000,0.9503,0.004
4000,1,8.439,15,6,0.95,0.95,3000,0.9427,0.0042
4000,2,16.879,15,6,0.95,0.95,3000,0.9423,0.0043
20000,0.1,0.844,15,6,0.95,0.95,3000,0.9443,0.0042
20000,0.25,2.11,15,6,0.95,0.95,3000,0.9537,0.0038
20000,0.5,4.22,15,6,0.95,0.95,3000,0.9513,0.0039
20000,1,8.439,15,6,0.95,0.95,3000,0.955,0.0038
20000,2,16.879,15,6,0.95,0.95,3000,0.946,0.0041
